ID_OBRA,PROYECTO,TRAMO,PK_INICIAL,PK_FINAL,ESTADO,MUNICIPIO,LOCALIDAD,LAT_INI,LON_INI,LAT_FIN,LON_FIN,ENTE_RESPONSABLE,TIPO_ACTIVO,TIPO_OBRA,DESCRIPCION,MONTO_MDP,CRITICIDAD,RIESGO,RESPONSABLE,FECHA,OBSERVACIONES,UTM_INI_ESTE,UTM_INI_NORTE,UTM_FIN_ESTE,UTM_FIN_NORTE,ZONA_UTM,OBS_COORDENADAS,ESTATUS
QI-T02-CMEM-00-V03-CTL-OI__TLS-0001-A00,Telecomunicaciones,Tramo II,36+400,40+800,Guanajuato,Apaseo el Grande,Apaseo el Grande,20.537385,-100.741711,20.534441,-100.784158,Telmex,Telecomunicaciones,Reubicacion por definir con operador.,Interferencia detectada entre linea de fibra optica de Telmex y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,MEDIO,Ing. Luis Hernandez,20/02/2026,"Se reunen SE, Telmex, MEM, para identificacion de su Infraestructura y analisis tecnico del operador ",318412.95,2271918.62,313982.88,2271640.49,14,,GESTIÓN / EJECUCIÓN
QI-T02-CMEM-00-V03-CTL-OI__EMT-0001-A00,Media Tension,Tramo II,36+550,36+550,Guanajuato,Apaseo el Grande,Apaseo el Grande,20.537307,-100.743288,20.537307,-100.743288,CFE,Linea electrica Media Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de media tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",SI,MEDIO,Ing. Luis Hernandez,02/03/2026,"Se entrega oficio a CFE, solicitud obra por terceros, para revision tecnica de la interferencia",318248.4,2271911.74,318248.4,2271911.74,14,,GESTIÓN / EJECUCIÓN
QI-T02-CMEM-00-V03-CTL-OI__TLS-0002-A00,Telecomunicaciones,Tramo II,38+000,43+400,Guanajuato,Apaseo el Grande,Apaseo el Grande,20.536321,-100.757121,20.532786,-100.80878,Bestel,Telecomunicaciones,Reubicacion por definir con operador.,Interferencia detectada entre linea de fibra optica de Bestel y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,03/02/2026,"Se reunen SE, Bestel y MEM, para identificacion de su Infraestructura",316804.69,2271818.04,311413.11,2271485.52,14,,GESTIÓN / EJECUCIÓN
QI-T02-CMEM-00-V03-CTL-OI__SVD-0001-A00,Servicios municipales,Tramo II,39+696,39+696,Guanajuato,Apaseo el Grande,Apaseo el Grande,20.535005,-100.777211,20.535005,-100.777211,Municipio,Servicios municipales,Reubicacion por definir con operador.,Interferencia detectada entre Camara de videovigilancia existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,,,314708.03,2271695.03,314708.03,2271695.03,14,,GESTIÓN / EJECUCIÓN
QI-T02-CMEM-00-V03-CTL-OI__GAS-0001-A00,Gasoducto,Tramo II,39+700,39+700,Guanajuato,Apaseo el Grande,Apaseo el Grande,20.535246,-100.773409,20.535246,-100.773409,BIOTEK,Gasoducto,Proteccion por definir con BIOTEK ,Interferencia detectada entre linea de gasoducto existente y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,MEDIO,Ing. Luis Hernandez,18/02/2026,Se realiza reunion para autorizacion y programacion de cala de exploracion en gasoducto para la revision tecnica,315104.82,2271717.4,315104.82,2271717.4,14,,GESTIÓN / EJECUCIÓN
QI-T02-CMEM-00-V03-CTL-OI__STC-0001-A00,Servicios privados,Tramo II,40+090,40+090,Guanajuato,Celaya,Celaya,20.535005,-100.777211,20.535005,-100.777211,Ferromex,Servicios privados,Reubicacion por definir con Ferromex,Interferencia detectada entre Senalizacion ferroviario existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,05/02/2026,"Se realiza recorrido Ferromex, SE, MEM para identificacion de interferencia",314708.03,2271695.03,314708.03,2271695.03,14,,GESTIÓN / EJECUCIÓN
QI-T02-CMEM-00-V03-CTL-OI__RDR-0001-A00,Drenaje,Tramo II,40+095,40+095,Guanajuato,Celaya,Celaya,20.534944,-100.777453,20.534944,-100.777453,Municipio,Drenaje,Proteccion / reubicacion por definir con operador,Interferencia detectada entre linea de dreaje existente y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,13/02/2026,"Se realiza recorrido para identificacion de su infraestructura, en proceso calas para revision tecnica",314682.72,2271688.55,314682.72,2271688.55,14,,GESTIÓN / EJECUCIÓN
QI-T02-CMEM-00-V03-CTL-OI__STC-0002-A00,Servicios privados,Tramo II,40+100,40+100,Guanajuato,Celaya,Celaya,20.534962,-100.777602,20.534962,-100.777602,Ferromex,Servicios privados,Reubicacion por definir con Ferromex,Interferencia detectada entre Senalizacion ferroviario existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,05/02/2026,"Se realiza recorrido Ferromex, SE, MEM para identificacion de interferencia",314667.21,2271690.71,314667.21,2271690.71,14,,GESTIÓN / EJECUCIÓN
QI-T02-CMEM-00-V03-CTL-OI__EMT-0002-A00,Media Tension,Tramo II,40+100,40+100,Guanajuato,Celaya,Celaya,20.535005,-100.777214,20.535005,-100.777214,CFE,Linea electrica Media Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de media tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,02/03/2026,"Se entrega oficio a CFE, solicitud obra por terceros, para revision tecnica de la interferencia",314707.72,2271695.03,314707.72,2271695.03,14,,GESTIÓN / EJECUCIÓN
QI-T02-CMEM-00-V03-CTL-OI__TLA-0003-A00,Telecomunicaciones,Tramo II,40+100,40+100,Guanajuato,Celaya,Celaya,20.534938,-100.777573,20.534938,-100.777573,Telmex,Telecomunicaciones,Reubicacion por definir con operador.,Interferencia detectada entre linea de fibra optica de Telmex y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,20/02/2026,"Se reunen SE, Telmex, MEM, para identificacion de su Infraestructura",314670.2,2271688.02,314670.2,2271688.02,14,,GESTIÓN / EJECUCIÓN
